timestamp,admin_id,action,ip_address,status,is_attack
2024-01-18 15:11:42,admin_1,login,118.250.225.102,Success,0
2024-01-15 14:59:15,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:11,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:06,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:56,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:49,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:44,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:35,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:24,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:27,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:17,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:11,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:09,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:06,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:57:56,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:57:47,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:57:42,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:58:25,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:57:32,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:26,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:39,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:01:01,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:53,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:49,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:44,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:41,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:36,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:26,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 14:59:35,admin_1,ban_player,118.250.225.102,Success,1
2024-01-15 15:00:23,admin_1,ban_player,118.250.225.102,Success,1
