hour_of_day,actions_per_min,is_rare_ip
14,1.0,0
14,6.0,0
14,0.5128205128205128,0
14,0.6451612903225806,0
14,0.5405405405405406,0
14,1.1320754716981132,0
14,0.5263157894736842,0
14,0.6060606060606061,0
14,0.5555555555555556,0
14,0.5660377358490566,0
14,0.6818181818181818,0
14,0.75,0
14,0.8695652173913043,0
14,1.0909090909090908,0
14,0.8955223880597015,0
14,2.2222222222222223,0
14,2.0,0
14,0.6741573033707865,0
14,0.5217391304347826,0
14,0.6896551724137931,0
14,0.6185567010309279,0
14,0.7228915662650602,0
14,1.6666666666666667,0
14,0.6976744186046512,0
14,0.6,0
14,1.0714285714285714,0
14,0.8571428571428571,0
14,0.5263157894736842,0
14,0.7058823529411765,0
14,0.5769230769230769,0
15,1.5,0
15,1.25,0
15,0.6521739130434783,0
15,0.8,0
15,0.5882352941176471,0
15,0.594059405940594,0
15,1.4634146341463414,0
15,1.0714285714285714,0
15,1.3953488372093024,0
15,0.5217391304347826,0
15,0.7317073170731707,0
15,3.0,0
15,1.6216216216216217,0
15,0.8,0
15,0.6122448979591837,0
15,4.615384615384615,0
15,1.2765957446808511,0
15,0.6122448979591837,0
15,3.75,0
15,3.75,0
15,0.5882352941176471,0
15,0.759493670886076,0
15,0.5454545454545454,0
15,1.935483870967742,0
15,0.6593406593406593,0
15,3.3333333333333335,0
15,1.935483870967742,0
15,0.625,0
12,0.000780081908600403,0
12,1.0909090909090908,0
12,0.5217391304347826,0
12,1.935483870967742,0
12,0.6666666666666666,0
12,1.0,0
12,0.6521739130434783,0
12,1.875,0
12,1.5789473684210527,0
13,0.6122448979591837,0
13,0.6122448979591837,0
13,2.142857142857143,0
13,2.0,0
13,1.1111111111111112,0
13,0.594059405940594,0
13,0.6185567010309279,0
13,1.5384615384615385,0
13,0.6521739130434783,0
13,0.8,0
13,0.6185567010309279,0
13,1.1764705882352942,0
13,0.7894736842105263,0
13,2.0,0
13,3.75,0
13,0.6741573033707865,0
13,1.2,0
13,1.935483870967742,0
13,1.4285714285714286,0
13,1.1111111111111112,0
13,0.5309734513274337,0
13,1.0344827586206897,0
13,0.7692307692307693,0
13,0.5405405405405406,0
13,1.5384615384615385,0
13,1.5,0
13,0.5825242718446602,0
13,0.9836065573770492,0
13,0.6185567010309279,0
13,2.2222222222222223,0
13,1.935483870967742,0
13,2.4,0
13,3.0,0
13,0.5309734513274337,0
13,0.7792207792207793,0
11,0.0007523888345496953,0
11,4.0,0
11,0.6741573033707865,0
11,1.875,0
11,2.0689655172413794,0
11,3.1578947368421053,0
11,0.5504587155963303,0
11,0.6521739130434783,0
11,5.454545454545454,0
11,1.0714285714285714,0
11,0.7142857142857143,0
11,0.5714285714285714,0
11,2.608695652173913,0
11,4.0,0
11,0.5309734513274337,0
12,0.5357142857142857,0
12,0.9090909090909091,0
12,0.6593406593406593,0
12,2.142857142857143,0
12,1.5384615384615385,0
12,1.2,0
12,0.5714285714285714,0
12,0.9090909090909091,0
12,2.5,0
12,0.8,0
12,1.7142857142857142,0
12,1.0,0
12,2.0689655172413794,0
12,3.5294117647058822,0
12,2.5,0
12,0.5504587155963303,0
12,1.8181818181818181,0
12,0.9523809523809523,0
12,3.5294117647058822,0
12,1.2244897959183674,0
12,0.5172413793103449,0
12,0.8,0
12,0.6818181818181818,0
12,0.5405405405405406,0
12,0.7317073170731707,0
12,0.6,0
12,2.857142857142857,0
12,1.0169491525423728,0
12,0.5714285714285714,0
12,0.7142857142857143,0
12,1.3636363636363635,0
12,1.2244897959183674,0
12,5.0,0
12,0.7058823529411765,0
12,1.1764705882352942,0
12,4.615384615384615,0
12,0.8108108108108109,0
12,4.285714285714286,0
12,0.6593406593406593,0
14,0.00033473737063795364,1
14,1.1111111111111112,1
14,4.0,1
14,0.7692307692307693,1
14,0.5172413793103449,1
14,1.4285714285714286,1
14,0.6521739130434783,1
14,0.5084745762711864,1
14,3.3333333333333335,1
14,2.2222222222222223,1
14,2.3076923076923075,1
14,0.7407407407407407,1
14,0.6666666666666666,1
14,1.2765957446808511,1
14,2.727272727272727,1
14,1.875,1
14,1.0909090909090908,1
14,4.285714285714286,1
14,0.6976744186046512,1
14,6.0,1
14,0.5217391304347826,1
14,0.8,1
14,2.3076923076923075,1
14,1.25,1
14,1.1764705882352942,1
14,0.5172413793103449,1
14,1.3636363636363635,1
14,0.5309734513274337,1
14,1.6216216216216217,1
14,1.3043478260869565,1
14,0.6060606060606061,1
14,0.8823529411764706,1
14,0.5128205128205128,1
15,0.8108108108108109,1
15,1.2244897959183674,1
15,0.7058823529411765,1
15,0.594059405940594,1
15,1.935483870967742,1
15,2.2222222222222223,1
15,1.5384615384615385,1
15,1.2765957446808511,1
15,2.608695652173913,1
13,0.0007583896859002717,0
13,0.5217391304347826,0
13,6.0,0
13,3.75,0
13,0.8823529411764706,0
13,0.6976744186046512,0
13,0.967741935483871,0
13,1.5789473684210527,0
13,0.8,0
13,1.0,0
13,1.6666666666666667,0
13,1.0344827586206897,0
13,2.5,0
13,0.631578947368421,0
13,1.3043478260869565,0
13,0.5172413793103449,0
13,4.285714285714286,0
13,0.9090909090909091,0
13,2.5,0
13,2.4,0
13,3.0,0
13,0.6382978723404256,0
13,0.967741935483871,0
13,0.9523809523809523,0
13,1.1111111111111112,0
13,0.594059405940594,0
13,0.7894736842105263,0
13,0.5042016806722689,0
13,0.9523809523809523,0
13,0.8695652173913043,0
13,1.3043478260869565,0
13,0.6060606060606061,0
