timestamp,admin_id,action,ip_address,status,hour_of_day,time_diff,actions_per_min,is_rare_ip,anomaly_score
2024-01-02 14:20:45,admin_1,login,140.60.192.112,Success,14,65.0,0.9230769230769232,0,1
2024-01-02 14:20:55,admin_1,reset_password,140.60.192.112,Success,14,10.0,6.0,0,1
2024-01-02 14:22:52,admin_1,view_player_profile,140.60.192.112,Success,14,117.0,0.5128205128205128,0,1
2024-01-02 14:24:25,admin_1,view_player_profile,140.60.192.112,Success,14,93.0,0.6451612903225806,0,1
2024-01-02 14:26:16,admin_1,reset_password,140.60.192.112,Success,14,111.0,0.5405405405405406,0,1
2024-01-02 14:27:09,admin_1,view_player_profile,140.60.192.112,Success,14,53.0,1.1320754716981132,0,1
2024-01-02 14:29:03,admin_1,reset_password,140.60.192.112,Success,14,114.0,0.5263157894736842,0,1
2024-01-02 14:30:42,admin_1,reset_password,140.60.192.112,Success,14,99.0,0.6060606060606061,0,1
2024-01-02 14:32:30,admin_1,view_player_profile,140.60.192.112,Success,14,108.0,0.5555555555555556,0,1
2024-01-02 14:34:16,admin_1,view_player_profile,140.60.192.112,Success,14,106.0,0.5660377358490566,0,1
2024-01-02 14:35:44,admin_1,view_player_profile,140.60.192.112,Success,14,88.0,0.6818181818181818,0,1
2024-01-02 14:37:04,admin_1,ban_player,140.60.192.112,Success,14,80.0,0.75,0,1
2024-01-02 14:38:13,admin_1,reset_password,140.60.192.112,Success,14,69.0,0.8695652173913043,0,1
2024-01-02 14:39:08,admin_1,view_player_profile,140.60.192.112,Success,14,55.0,1.0909090909090908,0,1
2024-01-02 14:40:15,admin_1,view_player_profile,140.60.192.112,Success,14,67.0,0.8955223880597015,0,1
2024-01-02 14:40:42,admin_1,view_player_profile,140.60.192.112,Success,14,27.0,2.2222222222222223,0,1
2024-01-02 14:41:12,admin_1,view_player_profile,140.60.192.112,Success,14,30.0,2.0,0,1
2024-01-02 14:42:41,admin_1,modify_currency,140.60.192.112,Success,14,89.0,0.6741573033707865,0,1
2024-01-02 14:44:36,admin_1,view_player_profile,140.60.192.112,Success,14,115.0,0.5217391304347826,0,1
2024-01-02 14:46:03,admin_1,view_player_profile,140.60.192.112,Success,14,87.0,0.6896551724137931,0,1
2024-01-02 14:47:40,admin_1,view_player_profile,140.60.192.112,Success,14,97.0,0.6185567010309279,0,1
2024-01-02 14:49:03,admin_1,reset_password,140.60.192.112,Success,14,83.0,0.7228915662650602,0,1
2024-01-02 14:49:39,admin_1,view_player_profile,140.60.192.112,Success,14,36.0,1.6666666666666667,0,1
2024-01-02 14:51:05,admin_1,unban_player,140.60.192.112,Success,14,86.0,0.6976744186046512,0,1
2024-01-02 14:52:45,admin_1,view_player_profile,140.60.192.112,Success,14,100.0,0.6,0,1
2024-01-02 14:53:41,admin_1,reset_password,140.60.192.112,Success,14,56.0,1.0714285714285714,0,1
2024-01-02 14:54:51,admin_1,reset_password,140.60.192.112,Success,14,70.0,0.8571428571428571,0,1
2024-01-02 14:56:45,admin_1,view_player_profile,140.60.192.112,Success,14,114.0,0.5263157894736842,0,1
2024-01-02 14:58:10,admin_1,view_player_profile,140.60.192.112,Success,14,85.0,0.7058823529411765,0,1
